development-policy,name,description,organisation,development-policy-categories,geographies,notes,entry-date,start-date,end-date,slug
avdlp-GP24,Car parking guidelines,,local-authority-eng:BUC,car-parks;parking,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP24
avdlp-GP25,Re-opening of rail routes,,local-authority-eng:BUC,rail,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP25
avdlp-GP26,Safeguarded station sites,,local-authority-eng:BUC,rail,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP26
avdlp-GP3,Low cost market housing,,local-authority-eng:BUC,affordable-housing,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP3
avdlp-GP30,Safeguarded road schemes,,local-authority-eng:BUC,transport;highways,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP30
avdlp-GP32,"Retention of shops, public houses and post offices",,local-authority-eng:BUC,retail;community-facilities,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP32
avdlp-GP35,Design of new development proposals,,local-authority-eng:BUC,design,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP35
avdlp-GP38,Landscaping of new development proposals,,local-authority-eng:BUC,nature,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP38
avdlp-GP39,Existing trees and hedgerows,,local-authority-eng:BUC,trees,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP39
avdlp-GP4,Affordable housing on small sites for local needs,,local-authority-eng:BUC,affordable-housing,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP4
avdlp-GP40,Retention of existing trees and hedgerows,,local-authority-eng:BUC,trees,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP40
avdlp-GP45,Secured by Design considerations,,local-authority-eng:BUC,design,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP45
avdlp-GP53,New development in and adjacent to Conservation Areas,,local-authority-eng:BUC,development-management;conservation-area,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP53
avdlp-GP57,Advertisements in Conservation Areas,,local-authority-eng:BUC,advertising;conservation-area,E07000004,,2020-12-21,2004-01-01,,/development-policy/local-authority-eng/BUC/avdlp-GP57
