development-policy,name,description,organisation,development-policy-categories,geographies,notes,entry-date,start-date,end-date,slug
bledlowcumsaundertonndp-P8,Rural Diversification,,local-authority-eng:BUC,,E04001592,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/bledlowcumsaundertonndp-P8
bledlowcumsaundertonndp-P9,Employment,,local-authority-eng:BUC,employment,E04001592,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/bledlowcumsaundertonndp-P9
bmwlp-P1,Safeguarding Mineral Resources,,local-authority-eng:BUC,development-management,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P1
bmwlp-P10,Waste Prevention and Minimisation in New Development,,local-authority-eng:BUC,development-management;waste,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P10
bmwlp-P11,Waste Management Capacity Needs,,local-authority-eng:BUC,development-management;waste,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P11
bmwlp-P12,Disposal to Landfill,,local-authority-eng:BUC,development-management;waste,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P12
bmwlp-P13,Spatial Strategy for Waste Management,,local-authority-eng:BUC,strategic-policy;waste,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P13
bmwlp-P14,Development Principles for Waste Management Facilities,,local-authority-eng:BUC,development-management;waste,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P14
bmwlp-P15,Sewage Treatment Works,,local-authority-eng:BUC,waste,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P15
bmwlp-P16,Managing Impacts on Amenity and Natural Resources,,local-authority-eng:BUC,development-management,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P16
bmwlp-P17,Sustainable Transport,,local-authority-eng:BUC,transport,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P17
bmwlp-P18,Natural Environment,,local-authority-eng:BUC,nature,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P18
bmwlp-P19,Historic Environment,,local-authority-eng:BUC,heritage;conservation-area;listed-building,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P19
bmwlp-P2,Spatial Strategy for Minerals Development,,local-authority-eng:BUC,strategic-policy,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P2
bmwlp-P20,Landscape Character,,local-authority-eng:BUC,nature,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P20
bmwlp-P21,Green Belt,,local-authority-eng:BUC,green-belt,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P21
bmwlp-P22,Chilterns Area of Outstanding Natural Beauty,,local-authority-eng:BUC,designation;nature,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P22
bmwlp-P23,Design and Climate Change,,local-authority-eng:BUC,climate-change;design,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P23
bmwlp-P24,Environmental Enhancement,,local-authority-eng:BUC,nature,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P24
bmwlp-P25,Delivering High Quality Restoration and Aftercare,,local-authority-eng:BUC,development-management,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P25
bmwlp-P26,Safeguarding of Minerals Development and Waste Management Infrastructure,,local-authority-eng:BUC,development-management;infrastructure;waste,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P26
bmwlp-P27,Minimising Land Use Conflict,,local-authority-eng:BUC,development-management,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P27
bmwlp-P28,Implementation,,local-authority-eng:BUC,development-management,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P28
bmwlp-P3,Sand and Gravel Provision,,local-authority-eng:BUC,development-management,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P3
bmwlp-P4,Allocated Sites for Sand and Gravel Provision,,local-authority-eng:BUC,allocated-sites,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P4
bmwlp-P5,Development Principles for Mineral Extraction,,local-authority-eng:BUC,development-management;mining,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P5
bmwlp-P6,Borrow Pits and Extraction as an Ancillary Activity,,local-authority-eng:BUC,development-management;mining,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P6
bmwlp-P7,Provision of Secondary and Recycled Aggregates,,local-authority-eng:BUC,aggregates,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P7
bmwlp-P8,Rail Aggregate Depots and Wharf Facilities,,local-authority-eng:BUC,aggregates;rail,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P8
bmwlp-P9,Energy Minerals,,local-authority-eng:BUC,energy,E06000060,,2020-12-21,2019-07-25,,/development-policy/local-authority-eng/BUC/bmwlp-P9
buckinghamndp-CLH1,Allocate land for a Cemetery,,local-authority-eng:BUC,allocated-sites;burial-spaces,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-CLH1
buckinghamndp-CLH2,Provision of play provision for new developments,,local-authority-eng:BUC,community-facilities;development-management;leisure;play-space,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-CLH2
buckinghamndp-CLH3,Allocate land for allotments,,local-authority-eng:BUC,allocated-sites;allotments,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-CLH3
buckinghamndp-CLH4,Protection of existing and provision of new health facilities,,local-authority-eng:BUC,community-facilities;development-management;health,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-CLH4
buckinghamndp-CLH5,Protection of existing green open space,,local-authority-eng:BUC,area/location-specific-policy;open-space,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-CLH5
buckinghamndp-CLH6,Development of Canal Area,,local-authority-eng:BUC,area/location-specific-policy,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-CLH6
buckinghamndp-CLH7,Preservation of St. Rumbold’s Well,,local-authority-eng:BUC,area/location-specific-policy,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-CLH7
buckinghamndp-CLH8,Continuation and expansion of the Riverside Walk,,local-authority-eng:BUC,area/location-specific-policy,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-CLH8
buckinghamndp-DHE1,Protect existing trees and provision of trees in developments,,local-authority-eng:BUC,trees,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-DHE1
buckinghamndp-DHE2,Standard of ecological information required to minimise the impact on natural habitats,,local-authority-eng:BUC,biodiversity;ecology;nature,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-DHE2
buckinghamndp-DHE3,Protection of designated sites and local and national priority habitats and species,,local-authority-eng:BUC,biodiversity;designation,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-DHE3
buckinghamndp-DHE4,Protection of movement corridors,,local-authority-eng:BUC,development-management,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-DHE4
buckinghamndp-DHE5,Biodiversity in Development Landscaping,,local-authority-eng:BUC,biodiversity,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-DHE5
buckinghamndp-DHE6,Provision of good quality private outdoor space,,local-authority-eng:BUC,development-management,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-DHE6
buckinghamndp-EE1,Allocate land for employment development,,local-authority-eng:BUC,allocated-sites;employment,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-EE1
buckinghamndp-EE2,"Allocation of land for retail, office and mixed development",,local-authority-eng:BUC,allocated-sites;office;retail,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-EE2
buckinghamndp-EE3,Locate new retail development within the town centre,,local-authority-eng:BUC,retail;town-centres,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-EE3
buckinghamndp-EE4,Retain and enhance the primary and secondary retail frontages,,local-authority-eng:BUC,retail;retail-policy,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-EE4
buckinghamndp-EE5,Allocation of land for town centre parking,,local-authority-eng:BUC,allocated-sites;car-parks;parking;town-centres,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-EE5
buckinghamndp-EE6,Telecommunication provision,,local-authority-eng:BUC,broadband;infrastructure;communications,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-EE6
buckinghamndp-EE7,Preservation of existing primary and senior school sites,,local-authority-eng:BUC,community-facilities;education;schools,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-EE7
buckinghamndp-EE8,Land allocated to University of Buckingham expansion,,local-authority-eng:BUC,allocated-sites,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-EE8
buckinghamndp-HP1,Allocate land for around 617 new dwellings,,local-authority-eng:BUC,allocated-sites;housing,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-HP1
buckinghamndp-HP2,Allocate land for 400 new rooms for University expansion,,local-authority-eng:BUC,allocated-sites;education,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-HP2
buckinghamndp-HP3,Allocate land for self build,,local-authority-eng:BUC,allocated-sites;specialised-housing,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-HP3
buckinghamndp-HP4,Provide a diverse housing mix,,local-authority-eng:BUC,housing-mix,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-HP4
buckinghamndp-HP5,Provide affordable housing,,local-authority-eng:BUC,affordable-housing,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-HP5
buckinghamndp-HP6,Phasing,,local-authority-eng:BUC,,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-HP6
buckinghamndp-HP7,Guidelines for Windfall sites,,local-authority-eng:BUC,development-management,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-HP7
buckinghamndp-I1,New disabled access requirement for new pedestrian routes,,local-authority-eng:BUC,development-management,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-I1
buckinghamndp-I2,Renewable energy generation,,local-authority-eng:BUC,energy,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-I2
buckinghamndp-I3,Rainwater collection,,local-authority-eng:BUC,water,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-I3
buckinghamndp-I4,Development upon the flood plain,,local-authority-eng:BUC,flooding,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-I4
buckinghamndp-I5,Sewage Management,,local-authority-eng:BUC,,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-I5
buckinghamndp-SR1,Site Design Brief,,local-authority-eng:BUC,design,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-SR1
buckinghamndp-SR2,Site G,,local-authority-eng:BUC,area/location-specific-policy,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-SR2
buckinghamndp-SR3,Site H,,local-authority-eng:BUC,area/location-specific-policy,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-SR3
buckinghamndp-SR4,Site I,,local-authority-eng:BUC,area/location-specific-policy,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-SR4
buckinghamndp-SR5,Site J,,local-authority-eng:BUC,area/location-specific-policy,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-SR5
buckinghamndp-SR6,Site K,,local-authority-eng:BUC,area/location-specific-policy,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-SR6
buckinghamndp-SR7,Site M,,local-authority-eng:BUC,area/location-specific-policy,E04001465,,2020-12-21,2015-09-30,,/development-policy/local-authority-eng/BUC/buckinghamndp-SR7
bucklandndp-BP1,Development within and adjacent to the Conservation Area,,local-authority-eng:BUC,conservation-area;development-management,E04001466,,2020-12-21,2016-03-04,,/development-policy/local-authority-eng/BUC/bucklandndp-BP1
bucklandndp-BP10,Reuse and Relocation of Farm Buildings,,local-authority-eng:BUC,development-management,E04001466,,2020-12-21,2016-03-04,,/development-policy/local-authority-eng/BUC/bucklandndp-BP10
bucklandndp-BP11,Provision of on-site parking spaces,,local-authority-eng:BUC,car-parks;parking,E04001466,,2020-12-21,2016-03-04,,/development-policy/local-authority-eng/BUC/bucklandndp-BP11
bucklandndp-BP12,Business traffic,,local-authority-eng:BUC,transport,E04001466,,2020-12-21,2016-03-04,,/development-policy/local-authority-eng/BUC/bucklandndp-BP12
bucklandndp-BP13,Community Facilities,,local-authority-eng:BUC,community-facilities,E04001466,,2020-12-21,2016-03-04,,/development-policy/local-authority-eng/BUC/bucklandndp-BP13
bucklandndp-BP14,Heritage,,local-authority-eng:BUC,conservation-area;heritage;listed-buildings,E04001466,,2020-12-21,2016-03-04,,/development-policy/local-authority-eng/BUC/bucklandndp-BP14
bucklandndp-BP15,Natural Environment,,local-authority-eng:BUC,nature,E04001466,,2020-12-21,2016-03-04,,/development-policy/local-authority-eng/BUC/bucklandndp-BP15
bucklandndp-BP2,AONB/Green Belt,,local-authority-eng:BUC,green-belt,E04001466,,2020-12-21,2016-03-04,,/development-policy/local-authority-eng/BUC/bucklandndp-BP2
bucklandndp-BP3,Local Distinctiveness,,local-authority-eng:BUC,,E04001466,,2020-12-21,2016-03-04,,/development-policy/local-authority-eng/BUC/bucklandndp-BP3
bucklandndp-BP4,No Further Coalescence,,local-authority-eng:BUC,development-management,E04001466,,2020-12-21,2016-03-04,,/development-policy/local-authority-eng/BUC/bucklandndp-BP4
bucklandndp-BP5,New Development,,local-authority-eng:BUC,development-management,E04001466,,2020-12-21,2016-03-04,,/development-policy/local-authority-eng/BUC/bucklandndp-BP5
bucklandndp-BP6,Meeting Local Housing Needs,,local-authority-eng:BUC,housing,E04001466,,2020-12-21,2016-03-04,,/development-policy/local-authority-eng/BUC/bucklandndp-BP6
bucklandndp-BP7,Affordable Homes,,local-authority-eng:BUC,affordable-housing,E04001466,,2020-12-21,2016-03-04,,/development-policy/local-authority-eng/BUC/bucklandndp-BP7
bucklandndp-BP8,Small business sites,,local-authority-eng:BUC,development-management,E04001466,,2020-12-21,2016-03-04,,/development-policy/local-authority-eng/BUC/bucklandndp-BP8
bucklandndp-BP9,Redevelopment of existing businesses,,local-authority-eng:BUC,development-management,E04001466,,2020-12-21,2016-03-04,,/development-policy/local-authority-eng/BUC/bucklandndp-BP9
ccs-CS1,The Spatial Strategy,,local-authority-eng:BUC,strategic-policy,E07000005,,2020-12-21,2011-11-15,,/development-policy/local-authority-eng/BUC/ccs-CS1
ccs-CS10,Affordable Housing Type,,local-authority-eng:BUC,affordable-housing,E07000005,,2020-12-21,2011-11-15,,/development-policy/local-authority-eng/BUC/ccs-CS10
ccs-CS11,Affordable Housing Size,,local-authority-eng:BUC,affordable-housing,E07000005,,2020-12-21,2011-11-15,,/development-policy/local-authority-eng/BUC/ccs-CS11
ccs-CS12,Specialist Housing,,local-authority-eng:BUC,specialised-housing,E07000005,,2020-12-21,2011-11-15,,/development-policy/local-authority-eng/BUC/ccs-CS12
