description,development-policy,development-policy-categories,end-date,entry-date,geographies,name,notes,organisation,start-date,slug
,avdlp-AY11,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Reallocated sites - Circus Fields,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY11
,avdlp-AY12,,,2020-12-21,E07000004,Requirement for planning briefs and public consultation regarding MDAs,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY12
,avdlp-AY13,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Berryfields MDA,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY13
,avdlp-AY14,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Weedon Hill MDA,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY14
,avdlp-AY15,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Aston Clinton MDA,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY15
,avdlp-AY16,employment,,2020-12-21,E07000004,Other employment sites,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY16
,avdlp-AY17,public-transport,,2020-12-21,E07000004,Public transport to serve new developments,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY17
,avdlp-AY18,rail,,2020-12-21,E07000004,Safeguarded land for new rail stops,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY18
,avdlp-AY20,cycling;development-management,,2020-12-21,E07000004,Development of the cycle network,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY20
,avdlp-AY21,car-parks;parking,,2020-12-21,E07000004,Parking policy guidelines,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY21
,avdlp-AY22,area/location-specific-policy,,2020-12-21,E07000004,Western Link Road,,development-policy:Buckinghamshire Council,2004-01-01,development-policy/development-policy/Buckinghamshire Council/avdlp-AY22
