description,development-policy,development-policy-categories,end-date,entry-date,geographies,name,notes,organisation,start-date,slug
,slaptonndp-SLP3,community-facilities,,2020-12-21,E04001529,Village Hall,,development-policy:Slapton Parish Council,2018-07-17,development-policy/development-policy/Slapton Parish Council/slaptonndp-SLP3
,slaptonndp-SLP4,employment,,2020-12-21,E04001529,Employment Sites,,development-policy:Slapton Parish Council,2018-07-17,development-policy/development-policy/Slapton Parish Council/slaptonndp-SLP4
,slaptonndp-SLP5,community-facilities;designation,,2020-12-21,E04001529,Local Green Spaces,,development-policy:Slapton Parish Council,2018-07-17,development-policy/development-policy/Slapton Parish Council/slaptonndp-SLP5
,slaptonndp-SLP6,design,,2020-12-21,E04001529,Design,,development-policy:Slapton Parish Council,2018-07-17,development-policy/development-policy/Slapton Parish Council/slaptonndp-SLP6
,steepleclaydonndp-SC1,strategic-policy,,2020-12-21,E04001531,Steeple Claydon Settlement Boundary,,development-policy:Steeple Claydon Parish Council,2017-12-15,development-policy/development-policy/Steeple Claydon Parish Council/steepleclaydonndp-SC1
,steepleclaydonndp-SC2,allocated-sites,,2020-12-21,E04001531,"Land at Molly’s Field, Addison Road",,development-policy:Steeple Claydon Parish Council,2017-12-15,development-policy/development-policy/Steeple Claydon Parish Council/steepleclaydonndp-SC2
,steepleclaydonndp-SC3,allocated-sites,,2020-12-21,E04001531,"The Co-op, West Street",,development-policy:Steeple Claydon Parish Council,2017-12-15,development-policy/development-policy/Steeple Claydon Parish Council/steepleclaydonndp-SC3
,steepleclaydonndp-SC4,allocated-sites,,2020-12-21,E04001531,"The GP Surgery, Vicarage Lane",,development-policy:Steeple Claydon Parish Council,2017-12-15,development-policy/development-policy/Steeple Claydon Parish Council/steepleclaydonndp-SC4
,steepleclaydonndp-SC5,allocated-sites,,2020-12-21,E04001531,Land at Queen Catherine Road,,development-policy:Steeple Claydon Parish Council,2017-12-15,development-policy/development-policy/Steeple Claydon Parish Council/steepleclaydonndp-SC5
,steepleclaydonndp-SC6,community-facilities;designation,,2020-12-21,E04001531,Local Green Spaces,,development-policy:Steeple Claydon Parish Council,2017-12-15,development-policy/development-policy/Steeple Claydon Parish Council/steepleclaydonndp-SC6
,steepleclaydonndp-SC7,community-facilities,,2020-12-21,E04001531,Community Facilities,,development-policy:Steeple Claydon Parish Council,2017-12-15,development-policy/development-policy/Steeple Claydon Parish Council/steepleclaydonndp-SC7
,steepleclaydonndp-SC8,design,,2020-12-21,E04001531,Design,,development-policy:Steeple Claydon Parish Council,2017-12-15,development-policy/development-policy/Steeple Claydon Parish Council/steepleclaydonndp-SC8
,waddesdonndp-WAD1,strategic-policy,,2020-12-21,E04001544,Waddesdon Settlement Boundary,,development-policy:Waddesdon Parish Council,2017-10-23,development-policy/development-policy/Waddesdon Parish Council/waddesdonndp-WAD1
,waddesdonndp-WAD2,allocated-sites;housing,,2020-12-21,E04001544,Housing Site Allocation,,development-policy:Waddesdon Parish Council,2017-10-23,development-policy/development-policy/Waddesdon Parish Council/waddesdonndp-WAD2
,waddesdonndp-WAD3,affordable-housing,,2020-12-21,E04001544,Affordable Housing,,development-policy:Waddesdon Parish Council,2017-10-23,development-policy/development-policy/Waddesdon Parish Council/waddesdonndp-WAD3
,waddesdonndp-WAD4,area/location-specific-policy,,2020-12-21,E04001544,"Waddesdon Manor, Waddesdon Estate and the National Trust",,development-policy:Waddesdon Parish Council,2017-10-23,development-policy/development-policy/Waddesdon Parish Council/waddesdonndp-WAD4
,waddesdonndp-WAD5,economy;employment,,2020-12-21,E04001544,Commercial Buildings,,development-policy:Waddesdon Parish Council,2017-10-23,development-policy/development-policy/Waddesdon Parish Council/waddesdonndp-WAD5
,waddesdonndp-WAD6,employment,,2020-12-21,E04001544,Employment Land,,development-policy:Waddesdon Parish Council,2017-10-23,development-policy/development-policy/Waddesdon Parish Council/waddesdonndp-WAD6
,waddesdonndp-WAD7,community-facilities,,2020-12-21,E04001544,Community Facilities,,development-policy:Waddesdon Parish Council,2017-10-23,development-policy/development-policy/Waddesdon Parish Council/waddesdonndp-WAD7
,waddesdonndp-WAD8,conservation-area;design,,2020-12-21,E04001544,Design in the Conservation Area,,development-policy:Waddesdon Parish Council,2017-10-23,development-policy/development-policy/Waddesdon Parish Council/waddesdonndp-WAD8
,waddesdonndp-WAD9,conservation-area;design,,2020-12-21,E04001544,Design in the Setting of the Conservation Area,,development-policy:Waddesdon Parish Council,2017-10-23,development-policy/development-policy/Waddesdon Parish Council/waddesdonndp-WAD9
,waddesdonndp-WAD10,conservation-area;views,,2020-12-21,E04001544,Views into and out of the Conservation Area,,development-policy:Waddesdon Parish Council,2017-10-23,development-policy/development-policy/Waddesdon Parish Council/waddesdonndp-WAD10
,waddesdonndp-WAD11,,,2020-12-21,E04001544,Buildings of Local Note,,development-policy:Waddesdon Parish Council,2017-10-23,development-policy/development-policy/Waddesdon Parish Council/waddesdonndp-WAD11
,waddesdonndp-WAD12,car-parks;parking;transport,,2020-12-21,E04001544,Transport & Car Parking,,development-policy:Waddesdon Parish Council,2017-10-23,development-policy/development-policy/Waddesdon Parish Council/waddesdonndp-WAD12
,waddesdonndp-WAD13,biodiversity,,2020-12-21,E04001544,Green Infrastructure & Biodiversity,,development-policy:Waddesdon Parish Council,2017-10-23,development-policy/development-policy/Waddesdon Parish Council/waddesdonndp-WAD13
,waddesdonndp-WAD14,community-facilities;designation,,2020-12-21,E04001544,Local Green Spaces,,development-policy:Waddesdon Parish Council,2017-10-23,development-policy/development-policy/Waddesdon Parish Council/waddesdonndp-WAD14
,westonturvillendp-H1,strategic-policy,,2020-12-21,E04001550,Weston Turville Settlement Boundaries,,development-policy:Weston Turville Parish Council,2018-08-08,development-policy/development-policy/Weston Turville Parish Council/westonturvillendp-H1
,westonturvillendp-H2,design,,2020-12-21,E04001550,Development Design in the Neighbourhood Area,,development-policy:Weston Turville Parish Council,2018-08-08,development-policy/development-policy/Weston Turville Parish Council/westonturvillendp-H2
,westonturvillendp-H3,conservation-area;development-management,,2020-12-21,E04001550,Development within the Conservation Area,,development-policy:Weston Turville Parish Council,2018-08-08,development-policy/development-policy/Weston Turville Parish Council/westonturvillendp-H3
,westonturvillendp-H4,housing-mix,,2020-12-21,E04001550,Housing Mix and Tenure,,development-policy:Weston Turville Parish Council,2018-08-08,development-policy/development-policy/Weston Turville Parish Council/westonturvillendp-H4
,westonturvillendp-T1,highways;transport,,2020-12-21,E04001550,Improvements to road safety and ease traffic congestion,,development-policy:Weston Turville Parish Council,2018-08-08,development-policy/development-policy/Weston Turville Parish Council/westonturvillendp-T1
,westonturvillendp-T2,cycling;walking,,2020-12-21,E04001550,Strategy for improving pedestrian and cycle connections within the Parish and to surrounding area,,development-policy:Weston Turville Parish Council,2018-08-08,development-policy/development-policy/Weston Turville Parish Council/westonturvillendp-T2
,westonturvillendp-T3,public-transport,,2020-12-21,E04001550,Encourage better planning of public transport,,development-policy:Weston Turville Parish Council,2018-08-08,development-policy/development-policy/Weston Turville Parish Council/westonturvillendp-T3
,westonturvillendp-E1,community-facilities;designation,,2020-12-21,E04001550,Protection of Local Green Spaces,,development-policy:Weston Turville Parish Council,2018-08-08,development-policy/development-policy/Weston Turville Parish Council/westonturvillendp-E1
,westonturvillendp-E2,views,,2020-12-21,E04001550,Protection of key views and vistas,,development-policy:Weston Turville Parish Council,2018-08-08,development-policy/development-policy/Weston Turville Parish Council/westonturvillendp-E2
,westonturvillendp-E3,biodiversity,,2020-12-21,E04001550,Biodiversity,,development-policy:Weston Turville Parish Council,2018-08-08,development-policy/development-policy/Weston Turville Parish Council/westonturvillendp-E3
,westonturvillendp-C1,community-facilities,,2020-12-21,E04001550,Retention and enhancement of community facilities,,development-policy:Weston Turville Parish Council,2018-08-08,development-policy/development-policy/Weston Turville Parish Council/westonturvillendp-C1
,westonturvillendp-C2,community-facilities,,2020-12-21,E04001550,Replacement of community facilities,,development-policy:Weston Turville Parish Council,2018-08-08,development-policy/development-policy/Weston Turville Parish Council/westonturvillendp-C2
,westonturvillendp-C3,infrastructure,,2020-12-21,E04001550,Public Rights of Way,,development-policy:Weston Turville Parish Council,2018-08-08,development-policy/development-policy/Weston Turville Parish Council/westonturvillendp-C3
,westonturvillendp-HE1,community-facilities;health,,2020-12-21,E04001550,Improvements to Health facilities by contributions from developers of new housing or employment schemes,,development-policy:Weston Turville Parish Council,2018-08-08,development-policy/development-policy/Weston Turville Parish Council/westonturvillendp-HE1
,westonturvillendp-HE2,education,,2020-12-21,E04001550,Access to Education provision,,development-policy:Weston Turville Parish Council,2018-08-08,development-policy/development-policy/Weston Turville Parish Council/westonturvillendp-HE2
,westonturvillendp-B1,economy;retail,,2020-12-21,E04001550,Revitalisation of the village centre,,development-policy:Weston Turville Parish Council,2018-08-08,development-policy/development-policy/Weston Turville Parish Council/westonturvillendp-B1
,westonturvillendp-B2,economy;employment,,2020-12-21,E04001550,Encouragement of growth and development of small businesses,,development-policy:Weston Turville Parish Council,2018-08-08,development-policy/development-policy/Weston Turville Parish Council/westonturvillendp-B2
,westonturvillendp-B3,broadband;infrastructure;communications,,2020-12-21,E04001550,Improvements to broadband and other fibre optic connections,,development-policy:Weston Turville Parish Council,2018-08-08,development-policy/development-policy/Weston Turville Parish Council/westonturvillendp-B3
,wendoverndp-H1,strategic-policy,,2020-12-21,E04001547,Wendover Settlement Boundary,,development-policy:Wendover Parish Council,2020-02-01,development-policy/development-policy/Wendover Parish Council/wendoverndp-H1
,wendoverndp-H2,conservation-area;development-management,,2020-12-21,E04001547,Development in the Conservation Area,,development-policy:Wendover Parish Council,2020-02-01,development-policy/development-policy/Wendover Parish Council/wendoverndp-H2
,wendoverndp-H3,affordable-housing,,2020-12-21,E04001547,Affordable Housing,,development-policy:Wendover Parish Council,2020-02-01,development-policy/development-policy/Wendover Parish Council/wendoverndp-H3
,wendoverndp-H4,specialised-housing,,2020-12-21,E04001547,Retirement Housing,,development-policy:Wendover Parish Council,2020-02-01,development-policy/development-policy/Wendover Parish Council/wendoverndp-H4
,wendoverndp-SD1,design,,2020-12-21,E04001547,Design for Sustainable Development within the Neighbourhood Plan Area,,development-policy:Wendover Parish Council,2020-02-01,development-policy/development-policy/Wendover Parish Council/wendoverndp-SD1
,wendoverndp-SD2,car-parks;design;parking,,2020-12-21,E04001547,Design for Sustainable Developments - Parking,,development-policy:Wendover Parish Council,2020-02-01,development-policy/development-policy/Wendover Parish Council/wendoverndp-SD2
,wendoverndp-B1,development-management,,2020-12-21,E04001547,Change of Use from Business to Residential,,development-policy:Wendover Parish Council,2020-02-01,development-policy/development-policy/Wendover Parish Council/wendoverndp-B1
,wendoverndp-CF1,community-facilities,,2020-12-21,E04001547,Community Facilities,,development-policy:Wendover Parish Council,2020-02-01,development-policy/development-policy/Wendover Parish Council/wendoverndp-CF1
,wendoverndp-CH1,biodiversity;ecology;nature,,2020-12-21,E04001547,"Conservation of Ecology, Biodiversity and Natural Assets",,development-policy:Wendover Parish Council,2020-02-01,development-policy/development-policy/Wendover Parish Council/wendoverndp-CH1
,wendoverndp-G1,community-facilities;designation,,2020-12-21,E04001547,Local Green Spaces,,development-policy:Wendover Parish Council,2020-02-01,development-policy/development-policy/Wendover Parish Council/wendoverndp-G1
,wendoverndp-G2,views,,2020-12-21,E04001547,Key Views and Vistas,,development-policy:Wendover Parish Council,2020-02-01,development-policy/development-policy/Wendover Parish Council/wendoverndp-G2
,wendoverndp-G3,biodiversity,,2020-12-21,E04001547,Biodiversity,,development-policy:Wendover Parish Council,2020-02-01,development-policy/development-policy/Wendover Parish Council/wendoverndp-G3
,wendoverndp-IC1,broadband;infrastructure;communications,,2020-12-21,E04001547,Internet and Mobile Signal,,development-policy:Wendover Parish Council,2020-02-01,development-policy/development-policy/Wendover Parish Council/wendoverndp-IC1
,wendoverndp-T1,car-parks;parking,,2020-12-21,E04001547,Parking,,development-policy:Wendover Parish Council,2020-02-01,development-policy/development-policy/Wendover Parish Council/wendoverndp-T1
,wendoverndp-T2,highways;transport,,2020-12-21,E04001547,Road Safety and Traffic Management,,development-policy:Wendover Parish Council,2020-02-01,development-policy/development-policy/Wendover Parish Council/wendoverndp-T2
,wendoverndp-T3,cycling;walking,,2020-12-21,E04001547,Cycle and Pedestrian Routes,,development-policy:Wendover Parish Council,2020-02-01,development-policy/development-policy/Wendover Parish Council/wendoverndp-T3
,wendoverndp-T4,public-transport,,2020-12-21,E04001547,Public Transport,,development-policy:Wendover Parish Council,2020-02-01,development-policy/development-policy/Wendover Parish Council/wendoverndp-T4
,wingndp-CGS1,nature,,2020-12-21,E04001553,Respecting the Environment,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-CGS1
,wingndp-CGS2,open-space,,2020-12-21,E04001553,Open Space in new development,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-CGS2
,wingndp-CGS3,community-facilities;designation,,2020-12-21,E04001553,Local Green Space Designation,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-CGS3
,wingndp-F1,community-facilities,,2020-12-21,E04001553,Village Facilities,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-F1
,wingndp-HE1,conservation-area;heritage;listed-buildings,,2020-12-21,E04001553,Heritage,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-HE1
,wingndp-HE2,archaeology,,2020-12-21,E04001553,Archaeology,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-HE2
,wingndp-VE1,tourism,,2020-12-21,E04001553,Visiting and Enjoying Wing,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-VE1
,wingndp-E1,employment,,2020-12-21,E04001553,New shops and employment provision in the village,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-E1
,wingndp-E2,employment,,2020-12-21,E04001553,New employment provision in the Parish beyond Wing Village,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-E2
,wingndp-E3,employment,,2020-12-21,E04001553,Protection of existing employment provision,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-E3
,wingndp-E4,broadband;infrastructure;communications,,2020-12-21,E04001553,Broadband,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-E4
,wingndp-T1,car-parks;parking,,2020-12-21,E04001553,Residential Parking standards,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-T1
,wingndp-T2,transport,,2020-12-21,E04001553,Impact on traffic,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-T2
,wingndp-T3,car-parks;parking;transport,,2020-12-21,E04001553,Traffic and Parking,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-T3
,wingndp-T4,cycling;walking,,2020-12-21,E04001553,Cyclists and Pedestrians,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-T4
,wingndp-HO1,development-management;housing,,2020-12-21,E04001553,Infill Housing,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-HO1
,wingndp-HO2,housing-mix,,2020-12-21,E04001553,Housing mix,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-HO2
,wingndp-HO3,affordable-housing,,2020-12-21,E04001553,Affordable housing,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-HO3
,wingndp-A1,allocated-sites,,2020-12-21,E04001553,Land at Stewkley Road/Dormer Avenue,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-A1
,wingndp-A2,allocated-sites,,2020-12-21,E04001553,Land off Meadow Way/Moorlands,,development-policy:Wing Parish Council,2015-03-16,development-policy/development-policy/Wing Parish Council/wingndp-A2
,wingraverowshamndp-P1,strategic-policy,,2020-12-21,E04001554,A Spatial Plan for the Parish,,development-policy:Wingrave With Rowsham Parish Council,2019-09-01,development-policy/development-policy/Wingrave With Rowsham Parish Council/wingraverowshamndp-P1
,wingraverowshamndp-P2,allocated-sites,,2020-12-21,E04001554,"Land South of Twelve Leys, Wingrave",,development-policy:Wingrave With Rowsham Parish Council,2019-09-01,development-policy/development-policy/Wingrave With Rowsham Parish Council/wingraverowshamndp-P2
,wingraverowshamndp-P3,allocated-sites,,2020-12-21,E04001554,"Land North of Baldways Close, Wingrave",,development-policy:Wingrave With Rowsham Parish Council,2019-09-01,development-policy/development-policy/Wingrave With Rowsham Parish Council/wingraverowshamndp-P3
,wingraverowshamndp-P4,allocated-sites,,2020-12-21,E04001554,"Land South of Leighton Road, Wingrave",,development-policy:Wingrave With Rowsham Parish Council,2019-09-01,development-policy/development-policy/Wingrave With Rowsham Parish Council/wingraverowshamndp-P4
,wingraverowshamndp-P5,design,,2020-12-21,E04001554,Design,,development-policy:Wingrave With Rowsham Parish Council,2019-09-01,development-policy/development-policy/Wingrave With Rowsham Parish Council/wingraverowshamndp-P5
,wingraverowshamndp-P6,employment,,2020-12-21,E04001554,Local Employment,,development-policy:Wingrave With Rowsham Parish Council,2019-09-01,development-policy/development-policy/Wingrave With Rowsham Parish Council/wingraverowshamndp-P6
,wingraverowshamndp-P7,community-facilities,,2020-12-21,E04001554,Wingrave Community Facilities,,development-policy:Wingrave With Rowsham Parish Council,2019-09-01,development-policy/development-policy/Wingrave With Rowsham Parish Council/wingraverowshamndp-P7
,wingraverowshamndp-P8,community-facilities;designation,,2020-12-21,E04001554,Local Green Spaces,,development-policy:Wingrave With Rowsham Parish Council,2019-09-01,development-policy/development-policy/Wingrave With Rowsham Parish Council/wingraverowshamndp-P8
,winslowndp-P1,development-management,,2020-12-21,E04001555,The Presumption in Favour of Sustainable Development,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P1
,winslowndp-P2,strategic-policy,,2020-12-21,E04001555,A Spatial Plan for the Town,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P2
,winslowndp-P3,allocated-sites;housing,,2020-12-21,E04001555,Housing Allocations,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P3
,winslowndp-P4,affordable-housing,,2020-12-21,E04001555,Affordable Housing,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P4
,winslowndp-P5,design;housing,,2020-12-21,E04001555,Housing Design,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P5
,winslowndp-P6,allocated-sites,,2020-12-21,E04001555,Land South of Buckingham Road,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P6
,winslowndp-P7,allocated-sites,,2020-12-21,E04001555,Land North of Buckingham Road,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P7
,winslowndp-P8,cycling,,2020-12-21,E04001555,Cycle Routes,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P8
,winslowndp-P9,buses;public-transport,,2020-12-21,E04001555,Bus Services,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P9
,winslowndp-P10,transport,,2020-12-21,E04001555,Traffic Management,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P10
,winslowndp-P11,area/location-specific-policy,,2020-12-21,E04001555,Winslow Community Centre,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P11
,winslowndp-P12,area/location-specific-policy,,2020-12-21,E04001555,Winslow Medical Services Centre,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P12
,winslowndp-P13,community-facilities;leisure,,2020-12-21,E04001555,Sports Facilities,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P13
,winslowndp-P14,community-facilities;education,,2020-12-21,E04001555,Childcare Nursery,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P14
,winslowndp-P15,community-facilities;leisure;play-space,,2020-12-21,E04001555,Play Facilities for Young People,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P15
,winslowndp-P16,community-facilities,,2020-12-21,E04001555,Assets of Community Value,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P16
,winslowndp-P17,area/location-specific-policy,,2020-12-21,E04001555,Winslow Shopping Area,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P17
,winslowndp-P18,retail,,2020-12-21,E04001555,Small Supermarket,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P18
,winslowndp-P19,community-facilities;designation,,2020-12-21,E04001555,Local Green Spaces,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P19
,winslowndp-P20,infrastructure,,2020-12-21,E04001555,Infrastructure Investment,,development-policy:Winslow Town Council,2014-09-10,development-policy/development-policy/Winslow Town Council/winslowndp-P20
,worminghallndp-SB1,strategic-policy,,2020-12-21,E04001557,Settlement Boundary,,development-policy:Worminghall Parish Council,2018-07-17,development-policy/development-policy/Worminghall Parish Council/worminghallndp-SB1
,worminghallndp-NH1,development-management,,2020-12-21,E04001557,New Houses,,development-policy:Worminghall Parish Council,2018-07-17,development-policy/development-policy/Worminghall Parish Council/worminghallndp-NH1
,worminghallndp-NH2,housing-mix,,2020-12-21,E04001557,Housing Mix,,development-policy:Worminghall Parish Council,2018-07-17,development-policy/development-policy/Worminghall Parish Council/worminghallndp-NH2
,worminghallndp-NH3,area/location-specific-policy,,2020-12-21,E04001557,Coldstream Farm/Rear of the Clifden Arms,,development-policy:Worminghall Parish Council,2018-07-17,development-policy/development-policy/Worminghall Parish Council/worminghallndp-NH3
,worminghallndp-RC1,,,2020-12-21,E04001557,Rural Character,,development-policy:Worminghall Parish Council,2018-07-17,development-policy/development-policy/Worminghall Parish Council/worminghallndp-RC1
,worminghallndp-CFR1,community-facilities,,2020-12-21,E04001557,Community Facilities,,development-policy:Worminghall Parish Council,2018-07-17,development-policy/development-policy/Worminghall Parish Council/worminghallndp-CFR1
,worminghallndp-CFR2,community-facilities,,2020-12-21,E04001557,Recreation,,development-policy:Worminghall Parish Council,2018-07-17,development-policy/development-policy/Worminghall Parish Council/worminghallndp-CFR2
,worminghallndp-CFR3,walking;infrastructure,,2020-12-21,E04001557,Footpaths,,development-policy:Worminghall Parish Council,2018-07-17,development-policy/development-policy/Worminghall Parish Council/worminghallndp-CFR3
,worminghallndp-CH1,conservation-area;heritage;listed-buildings,,2020-12-21,E04001557,Heritage,,development-policy:Worminghall Parish Council,2018-07-17,development-policy/development-policy/Worminghall Parish Council/worminghallndp-CH1
,worminghallndp-TT1,car-parks;parking;transport,,2020-12-21,E04001557,Parking and Traffic,,development-policy:Worminghall Parish Council,2018-07-17,development-policy/development-policy/Worminghall Parish Council/worminghallndp-TT1
,chalfontstgilesndp-HP1,affordable-housing,,2020-12-21,E04001565,Rural Exception Sites in the Parish,,development-policy:Chalfont Saint Giles Parish Council,2019-07-23,development-policy/development-policy/Chalfont Saint Giles Parish Council/chalfontstgilesndp-HP1
,chalfontstgilesndp-HP2,affordable-housing,,2020-12-21,E04001565,Well Integrated Affordable Housing in the Built-up Area,,development-policy:Chalfont Saint Giles Parish Council,2019-07-23,development-policy/development-policy/Chalfont Saint Giles Parish Council/chalfontstgilesndp-HP2
,chalfontstgilesndp-CFP1,community-facilities,,2020-12-21,E04001565,Protecting and Enhancing Community Facilities in the Parish,,development-policy:Chalfont Saint Giles Parish Council,2019-07-23,development-policy/development-policy/Chalfont Saint Giles Parish Council/chalfontstgilesndp-CFP1
,chalfontstgilesndp-EP1,economy,,2020-12-21,E04001565,Supporting the Vitality of the Parish’s Local Economy,,development-policy:Chalfont Saint Giles Parish Council,2019-07-23,development-policy/development-policy/Chalfont Saint Giles Parish Council/chalfontstgilesndp-EP1
,chalfontstgilesndp-NEP1,nature,,2020-12-21,E04001565,Green Routes,,development-policy:Chalfont Saint Giles Parish Council,2019-07-23,development-policy/development-policy/Chalfont Saint Giles Parish Council/chalfontstgilesndp-NEP1
,chalfontstgilesndp-NEP2,community-facilities;designation,,2020-12-21,E04001565,Local Green Spaces in the Parish,,development-policy:Chalfont Saint Giles Parish Council,2019-07-23,development-policy/development-policy/Chalfont Saint Giles Parish Council/chalfontstgilesndp-NEP2
,chalfontstgilesndp-HEP1,conservation-area;heritage;listed-buildings,,2020-12-21,E04001566,Heritage Assets and Conservation Areas in the Parish,,development-policy:Chalfont Saint Giles Parish Council,2019-07-23,development-policy/development-policy/Chalfont Saint Giles Parish Council/chalfontstgilesndp-HEP1
,chalfontstgilesndp-DP1,development-management,,2020-12-21,E04001566,New Development,,development-policy:Chalfont Saint Giles Parish Council,2019-07-23,development-policy/development-policy/Chalfont Saint Giles Parish Council/chalfontstgilesndp-DP1
,chalfontstpeterndp-VC1,design;development-management,,2020-12-21,E04001566,The design of new development within the Village Centre must conserve or enhance the character of the area,,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-VC1
,chalfontstpeterndp-VC2,design,,2020-12-21,E04001566,Buildings that make a positive architectural contribution to the Village Centre are identified in Figure 5.3. Improvements to these buildings will be supported and encouraged so long as they maintain or enhance the positive contribution the building makes to the Village Centre. Replacement of any building will only be permitted in exceptional circumstances provided that the proposed development is (i) of better architectural quality than the existing building; and (ii) makes a more positive architectural contribution to the Village Centre. Replacement buildings that fail to make a more positive contribution or are of lesser quality than the existing will be resisted.,,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-VC2
,chalfontstpeterndp-VC3,economy,,2020-12-21,E04001566,"To promote the vitality and viability of the village centre, the District Shopping Centre is extended as shown in Figure 5.4",,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-VC3
,chalfontstpeterndp-VC4,development-management;retail-policy,,2020-12-21,E04001566,Within Primary Shopping Frontages changes of use from use class A1 will be refused unless the proposed use would not create a significant break in the shopping frontage i.e. the number of unitsnot to exceed 10% non-A1 type uses in a frontage comprising the application site and fi ve units either side of the proposal site (where there are fi ve units within the frontage) and such that there will not result in the proposed use adjoining another non-A1 type use,,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-VC4
,chalfontstpeterndp-VC5,development-management,,2020-12-21,E04001566,Improvements to or redevelopment of St Peter’s Court must support the Village Centre by following the principles set out below,,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-VC5
,chalfontstpeterndp-VC6,design,,2020-12-21,E04001566,New shopfonts or replacement shopfronts must be designed to accord with the Shop Front Design Guide set out in Appendix A of this Neighbourhood Plan,,development-policy:Chalfont Saint Peter Parish Council,2016-11-15,development-policy/development-policy/Chalfont Saint Peter Parish Council/chalfontstpeterndp-VC6
